2024/04/28 10:24:01 maxprocs: Leaving GOMAXPROCS=64: CPU quota undefined
[Current] DELIVERY - Takes(s): 8.2, Count: 45, TPM: 329.5, Sum(ms): 48597.2, Avg(ms): 1080.8, 50th(ms): 1040.2, 90th(ms): 1409.3, 95th(ms): 1610.6, 99th(ms): 1879.0, 99.9th(ms): 1879.0, Max(ms): 1879.0
[Current] NEW_ORDER - Takes(s): 9.5, Count: 621, TPM: 3941.2, Sum(ms): 290675.8, Avg(ms): 468.2, 50th(ms): 453.0, 90th(ms): 671.1, 95th(ms): 771.8, 99th(ms): 906.0, 99.9th(ms): 1140.9, Max(ms): 1140.9
[Current] ORDER_STATUS - Takes(s): 9.3, Count: 45, TPM: 289.1, Sum(ms): 14501.0, Avg(ms): 322.5, 50th(ms): 268.4, 90th(ms): 637.5, 95th(ms): 771.8, 99th(ms): 872.4, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] PAYMENT - Takes(s): 9.5, Count: 604, TPM: 3833.3, Sum(ms): 220205.4, Avg(ms): 364.6, 50th(ms): 352.3, 90th(ms): 503.3, 95th(ms): 671.1, 99th(ms): 973.1, 99.9th(ms): 1476.4, Max(ms): 1946.2
[Current] STOCK_LEVEL - Takes(s): 9.0, Count: 62, TPM: 411.5, Sum(ms): 22770.5, Avg(ms): 366.5, 50th(ms): 369.1, 90th(ms): 486.5, 95th(ms): 570.4, 99th(ms): 637.5, 99.9th(ms): 771.8, Max(ms): 771.8
[Current] DELIVERY - Takes(s): 10.0, Count: 61, TPM: 367.5, Sum(ms): 61523.7, Avg(ms): 1007.2, 50th(ms): 1040.2, 90th(ms): 1208.0, 95th(ms): 1275.1, 99th(ms): 1275.1, 99.9th(ms): 1342.2, Max(ms): 1342.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 691, TPM: 4163.7, Sum(ms): 295990.6, Avg(ms): 428.4, 50th(ms): 419.4, 90th(ms): 570.4, 95th(ms): 604.0, 99th(ms): 771.8, 99.9th(ms): 939.5, Max(ms): 1006.6
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 72, TPM: 436.8, Sum(ms): 23359.1, Avg(ms): 324.3, 50th(ms): 285.2, 90th(ms): 637.5, 95th(ms): 671.1, 99th(ms): 771.8, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] PAYMENT - Takes(s): 10.0, Count: 634, TPM: 3820.1, Sum(ms): 231640.9, Avg(ms): 365.5, 50th(ms): 352.3, 90th(ms): 453.0, 95th(ms): 604.0, 99th(ms): 838.9, 99.9th(ms): 1342.2, Max(ms): 1342.2
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 67, TPM: 407.9, Sum(ms): 20879.4, Avg(ms): 312.5, 50th(ms): 318.8, 90th(ms): 402.7, 95th(ms): 436.2, 99th(ms): 486.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] DELIVERY - Takes(s): 9.9, Count: 59, TPM: 356.4, Sum(ms): 57969.6, Avg(ms): 983.3, 50th(ms): 973.1, 90th(ms): 1208.0, 95th(ms): 1275.1, 99th(ms): 1409.3, 99.9th(ms): 1543.5, Max(ms): 1543.5
