[Current] DELIVERY - Takes(s): 9.5, Count: 32, TPM: 201.9, Sum(ms): 12990.3, Avg(ms): 406.3, 50th(ms): 369.1, 90th(ms): 570.4, 95th(ms): 671.1, 99th(ms): 838.9, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] NEW_ORDER - Takes(s): 9.8, Count: 377, TPM: 2312.2, Sum(ms): 42366.8, Avg(ms): 112.4, 50th(ms): 104.9, 90th(ms): 159.4, 95th(ms): 201.3, 99th(ms): 243.3, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 47, TPM: 290.7, Sum(ms): 5239.5, Avg(ms): 110.9, 50th(ms): 88.1, 90th(ms): 226.5, 95th(ms): 243.3, 99th(ms): 260.0, 99.9th(ms): 260.0, Max(ms): 260.0
[Current] PAYMENT - Takes(s): 9.8, Count: 354, TPM: 2165.4, Sum(ms): 32965.2, Avg(ms): 93.2, 50th(ms): 75.5, 90th(ms): 176.2, 95th(ms): 201.3, 99th(ms): 234.9, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] STOCK_LEVEL - Takes(s): 9.4, Count: 31, TPM: 197.3, Sum(ms): 3989.2, Avg(ms): 128.8, 50th(ms): 125.8, 90th(ms): 151.0, 95th(ms): 176.2, 99th(ms): 226.5, 99.9th(ms): 226.5, Max(ms): 226.5
[Current] DELIVERY - Takes(s): 9.8, Count: 35, TPM: 214.0, Sum(ms): 14153.8, Avg(ms): 403.1, 50th(ms): 352.3, 90th(ms): 604.0, 95th(ms): 604.0, 99th(ms): 872.4, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] NEW_ORDER - Takes(s): 9.9, Count: 379, TPM: 2288.2, Sum(ms): 42564.5, Avg(ms): 112.3, 50th(ms): 104.9, 90th(ms): 159.4, 95th(ms): 192.9, 99th(ms): 243.3, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 38, TPM: 228.4, Sum(ms): 4236.6, Avg(ms): 111.0, 50th(ms): 92.3, 90th(ms): 226.5, 95th(ms): 243.3, 99th(ms): 302.0, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] PAYMENT - Takes(s): 10.0, Count: 398, TPM: 2388.7, Sum(ms): 34724.3, Avg(ms): 87.3, 50th(ms): 71.3, 90th(ms): 151.0, 95th(ms): 192.9, 99th(ms): 226.5, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 34, TPM: 204.8, Sum(ms): 3877.9, Avg(ms): 114.0, 50th(ms): 113.2, 90th(ms): 130.0, 95th(ms): 151.0, 99th(ms): 184.5, 99.9th(ms): 184.5, Max(ms): 184.5
[Current] DELIVERY - Takes(s): 9.9, Count: 27, TPM: 164.3, Sum(ms): 10313.9, Avg(ms): 382.8, 50th(ms): 352.3, 90th(ms): 436.2, 95th(ms): 637.5, 99th(ms): 738.2, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 405, TPM: 2439.7, Sum(ms): 46140.9, Avg(ms): 113.9, 50th(ms): 104.9, 90th(ms): 159.4, 95th(ms): 192.9, 99th(ms): 243.3, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 37, TPM: 231.5, Sum(ms): 3844.0, Avg(ms): 104.3, 50th(ms): 52.4, 90th(ms): 226.5, 95th(ms): 234.9, 99th(ms): 243.3, 99.9th(ms): 243.3, Max(ms): 243.3
[Current] PAYMENT - Takes(s): 10.0, Count: 374, TPM: 2246.1, Sum(ms): 33945.9, Avg(ms): 90.8, 50th(ms): 75.5, 90th(ms): 151.0, 95th(ms): 176.2, 99th(ms): 234.9, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 41, TPM: 249.8, Sum(ms): 4946.6, Avg(ms): 121.0, 50th(ms): 117.4, 90th(ms): 151.0, 95th(ms): 159.4, 99th(ms): 209.7, 99.9th(ms): 209.7, Max(ms): 209.7
