[Current] DELIVERY - Takes(s): 9.2, Count: 39, TPM: 255.1, Sum(ms): 24977.7, Avg(ms): 642.5, 50th(ms): 570.4, 90th(ms): 939.5, 95th(ms): 973.1, 99th(ms): 2080.4, 99.9th(ms): 2080.4, Max(ms): 2080.4
[Current] NEW_ORDER - Takes(s): 9.6, Count: 495, TPM: 3101.9, Sum(ms): 225026.0, Avg(ms): 454.4, 50th(ms): 285.2, 90th(ms): 1040.2, 95th(ms): 1208.0, 99th(ms): 1543.5, 99.9th(ms): 1744.8, Max(ms): 1744.8
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 55, TPM: 341.4, Sum(ms): 3473.0, Avg(ms): 63.2, 50th(ms): 58.7, 90th(ms): 71.3, 95th(ms): 79.7, 99th(ms): 352.3, 99.9th(ms): 453.0, Max(ms): 453.0
[Current] PAYMENT - Takes(s): 9.7, Count: 453, TPM: 2807.1, Sum(ms): 331723.1, Avg(ms): 732.8, 50th(ms): 771.8, 90th(ms): 1275.1, 95th(ms): 1476.4, 99th(ms): 1677.7, 99.9th(ms): 1677.7, Max(ms): 1677.7
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 41, TPM: 258.5, Sum(ms): 6039.6, Avg(ms): 147.5, 50th(ms): 142.6, 90th(ms): 192.9, 95th(ms): 209.7, 99th(ms): 268.4, 99.9th(ms): 268.4, Max(ms): 268.4
[Current] DELIVERY - Takes(s): 9.6, Count: 45, TPM: 281.1, Sum(ms): 30965.0, Avg(ms): 688.8, 50th(ms): 536.9, 90th(ms): 1208.0, 95th(ms): 1342.2, 99th(ms): 1744.8, 99.9th(ms): 1744.8, Max(ms): 1744.8
[Current] NEW_ORDER - Takes(s): 10.0, Count: 534, TPM: 3204.6, Sum(ms): 250416.0, Avg(ms): 469.0, 50th(ms): 243.3, 90th(ms): 1208.0, 95th(ms): 1342.2, 99th(ms): 1543.5, 99.9th(ms): 1677.7, Max(ms): 1677.7
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 46, TPM: 283.4, Sum(ms): 3039.6, Avg(ms): 66.0, 50th(ms): 50.3, 90th(ms): 60.8, 95th(ms): 318.8, 99th(ms): 385.9, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] PAYMENT - Takes(s): 10.0, Count: 482, TPM: 2904.4, Sum(ms): 351027.3, Avg(ms): 729.0, 50th(ms): 738.2, 90th(ms): 1409.3, 95th(ms): 1543.5, 99th(ms): 1610.6, 99.9th(ms): 1879.0, Max(ms): 1879.0
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 42, TPM: 252.4, Sum(ms): 5479.7, Avg(ms): 130.6, 50th(ms): 125.8, 90th(ms): 184.5, 95th(ms): 192.9, 99th(ms): 201.3, 99.9th(ms): 201.3, Max(ms): 201.3
[Current] DELIVERY - Takes(s): 9.9, Count: 39, TPM: 235.9, Sum(ms): 27247.8, Avg(ms): 701.2, 50th(ms): 536.9, 90th(ms): 1140.9, 95th(ms): 1610.6, 99th(ms): 2013.3, 99.9th(ms): 2013.3, Max(ms): 2013.3
