[Current] DELIVERY - Takes(s): 9.7, Count: 27, TPM: 167.4, Sum(ms): 4833.6, Avg(ms): 178.3, 50th(ms): 167.8, 90th(ms): 285.2, 95th(ms): 318.8, 99th(ms): 318.8, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] NEW_ORDER - Takes(s): 9.8, Count: 254, TPM: 1548.4, Sum(ms): 36923.4, Avg(ms): 145.8, 50th(ms): 117.4, 90th(ms): 268.4, 95th(ms): 402.7, 99th(ms): 570.4, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 15, TPM: 92.2, Sum(ms): 106.6, Avg(ms): 7.1, 50th(ms): 7.9, 90th(ms): 8.9, 95th(ms): 8.9, 99th(ms): 11.5, 99.9th(ms): 11.5, Max(ms): 11.5
[Current] PAYMENT - Takes(s): 9.9, Count: 245, TPM: 1491.9, Sum(ms): 54135.3, Avg(ms): 220.9, 50th(ms): 167.8, 90th(ms): 486.5, 95th(ms): 604.0, 99th(ms): 805.3, 99.9th(ms): 1140.9, Max(ms): 1140.9
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 22, TPM: 135.1, Sum(ms): 452.0, Avg(ms): 20.6, 50th(ms): 11.0, 90th(ms): 21.0, 95th(ms): 100.7, 99th(ms): 121.6, 99.9th(ms): 121.6, Max(ms): 121.6
[Current] DELIVERY - Takes(s): 9.8, Count: 27, TPM: 165.8, Sum(ms): 4231.1, Avg(ms): 156.2, 50th(ms): 159.4, 90th(ms): 201.3, 95th(ms): 226.5, 99th(ms): 285.2, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 274, TPM: 1644.8, Sum(ms): 37307.5, Avg(ms): 136.4, 50th(ms): 109.1, 90th(ms): 218.1, 95th(ms): 335.5, 99th(ms): 570.4, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 27, TPM: 168.7, Sum(ms): 164.3, Avg(ms): 6.0, 50th(ms): 6.3, 90th(ms): 8.4, 95th(ms): 8.9, 99th(ms): 9.4, 99.9th(ms): 9.4, Max(ms): 9.4
[Current] PAYMENT - Takes(s): 10.0, Count: 294, TPM: 1764.8, Sum(ms): 59295.4, Avg(ms): 202.0, 50th(ms): 167.8, 90th(ms): 385.9, 95th(ms): 469.8, 99th(ms): 604.0, 99.9th(ms): 1140.9, Max(ms): 1140.9
[Current] STOCK_LEVEL - Takes(s): 8.2, Count: 17, TPM: 124.2, Sum(ms): 448.3, Avg(ms): 26.4, 50th(ms): 10.0, 90th(ms): 58.7, 95th(ms): 100.7, 99th(ms): 121.6, 99.9th(ms): 121.6, Max(ms): 121.6
[Current] DELIVERY - Takes(s): 9.6, Count: 17, TPM: 106.5, Sum(ms): 3166.5, Avg(ms): 186.4, 50th(ms): 167.8, 90th(ms): 260.0, 95th(ms): 285.2, 99th(ms): 352.3, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] NEW_ORDER - Takes(s): 9.9, Count: 221, TPM: 1333.4, Sum(ms): 32598.4, Avg(ms): 147.5, 50th(ms): 121.6, 90th(ms): 268.4, 95th(ms): 402.7, 99th(ms): 536.9, 99.9th(ms): 973.1, Max(ms): 973.1
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 23, TPM: 139.7, Sum(ms): 128.5, Avg(ms): 5.6, 50th(ms): 6.3, 90th(ms): 7.3, 95th(ms): 7.3, 99th(ms): 7.9, 99.9th(ms): 7.9, Max(ms): 7.9
[Current] PAYMENT - Takes(s): 10.0, Count: 259, TPM: 1555.8, Sum(ms): 62392.6, Avg(ms): 241.4, 50th(ms): 201.3, 90th(ms): 503.3, 95th(ms): 604.0, 99th(ms): 906.0, 99.9th(ms): 1006.6, Max(ms): 1006.6
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 15, TPM: 90.9, Sum(ms): 432.3, Avg(ms): 29.0, 50th(ms): 8.4, 90th(ms): 79.7, 95th(ms): 79.7, 99th(ms): 92.3, 99.9th(ms): 92.3, Max(ms): 92.3
[Current] DELIVERY - Takes(s): 9.7, Count: 17, TPM: 104.8, Sum(ms): 2626.2, Avg(ms): 154.3, 50th(ms): 151.0, 90th(ms): 201.3, 95th(ms): 201.3, 99th(ms): 218.1, 99.9th(ms): 218.1, Max(ms): 218.1
[Current] NEW_ORDER - Takes(s): 9.9, Count: 269, TPM: 1628.9, Sum(ms): 37367.3, Avg(ms): 138.9, 50th(ms): 113.2, 90th(ms): 226.5, 95th(ms): 318.8, 99th(ms): 503.3, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 17, TPM: 103.0, Sum(ms): 109.8, Avg(ms): 6.4, 50th(ms): 6.8, 90th(ms): 7.9, 95th(ms): 7.9, 99th(ms): 7.9, 99.9th(ms): 7.9, Max(ms): 7.9
[Current] PAYMENT - Takes(s): 10.0, Count: 269, TPM: 1615.2, Sum(ms): 60915.7, Avg(ms): 226.7, 50th(ms): 184.5, 90th(ms): 453.0, 95th(ms): 570.4, 99th(ms): 704.6, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 19, TPM: 119.9, Sum(ms): 362.2, Avg(ms): 19.1, 50th(ms): 8.4, 90th(ms): 60.8, 95th(ms): 60.8, 99th(ms): 75.5, 99.9th(ms): 75.5, Max(ms): 75.5
[Current] DELIVERY - Takes(s): 8.7, Count: 20, TPM: 138.3, Sum(ms): 3824.8, Avg(ms): 191.8, 50th(ms): 176.2, 90th(ms): 243.3, 95th(ms): 402.7, 99th(ms): 453.0, 99.9th(ms): 453.0, Max(ms): 453.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 286, TPM: 1723.1, Sum(ms): 40497.7, Avg(ms): 141.7, 50th(ms): 121.6, 90th(ms): 226.5, 95th(ms): 302.0, 99th(ms): 520.1, 99.9th(ms): 671.1, Max(ms): 671.1
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 15, TPM: 91.7, Sum(ms): 89.7, Avg(ms): 6.0, 50th(ms): 6.3, 90th(ms): 7.9, 95th(ms): 7.9, 99th(ms): 8.4, 99.9th(ms): 8.4, Max(ms): 8.4
[Current] PAYMENT - Takes(s): 10.0, Count: 252, TPM: 1518.2, Sum(ms): 54594.8, Avg(ms): 216.5, 50th(ms): 201.3, 90th(ms): 436.2, 95th(ms): 503.3, 99th(ms): 637.5, 99.9th(ms): 704.6, Max(ms): 704.6
[Current] STOCK_LEVEL - Takes(s): 8.8, Count: 21, TPM: 143.5, Sum(ms): 688.2, Avg(ms): 32.8, 50th(ms): 8.9, 90th(ms): 113.2, 95th(ms): 117.4, 99th(ms): 130.0, 99.9th(ms): 130.0, Max(ms): 130.0
[Current] DELIVERY - Takes(s): 9.0, Count: 19, TPM: 127.1, Sum(ms): 3490.8, Avg(ms): 184.0, 50th(ms): 176.2, 90th(ms): 268.4, 95th(ms): 318.8, 99th(ms): 402.7, 99.9th(ms): 402.7, Max(ms): 402.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 285, TPM: 1711.2, Sum(ms): 38450.7, Avg(ms): 135.1, 50th(ms): 117.4, 90th(ms): 218.1, 95th(ms): 318.8, 99th(ms): 536.9, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 20, TPM: 121.2, Sum(ms): 121.4, Avg(ms): 6.1, 50th(ms): 6.3, 90th(ms): 7.9, 95th(ms): 7.9, 99th(ms): 7.9, 99.9th(ms): 7.9, Max(ms): 7.9
[Current] PAYMENT - Takes(s): 10.0, Count: 273, TPM: 1641.9, Sum(ms): 56534.6, Avg(ms): 207.3, 50th(ms): 176.2, 90th(ms): 419.4, 95th(ms): 503.3, 99th(ms): 704.6, 99.9th(ms): 771.8, Max(ms): 771.8
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 25, TPM: 153.0, Sum(ms): 603.9, Avg(ms): 24.2, 50th(ms): 8.4, 90th(ms): 83.9, 95th(ms): 88.1, 99th(ms): 100.7, 99.9th(ms): 100.7, Max(ms): 100.7
[Current] DELIVERY - Takes(s): 10.0, Count: 14, TPM: 84.2, Sum(ms): 2259.4, Avg(ms): 160.3, 50th(ms): 159.4, 90th(ms): 192.9, 95th(ms): 192.9, 99th(ms): 251.7, 99.9th(ms): 251.7, Max(ms): 251.7
[Current] NEW_ORDER - Takes(s): 9.9, Count: 260, TPM: 1570.0, Sum(ms): 36354.0, Avg(ms): 140.3, 50th(ms): 113.2, 90th(ms): 226.5, 95th(ms): 352.3, 99th(ms): 604.0, 99.9th(ms): 704.6, Max(ms): 704.6
[Current] ORDER_STATUS - Takes(s): 9.2, Count: 24, TPM: 156.9, Sum(ms): 185.6, Avg(ms): 7.8, 50th(ms): 5.2, 90th(ms): 7.9, 95th(ms): 7.9, 99th(ms): 58.7, 99.9th(ms): 58.7, Max(ms): 58.7
[Current] PAYMENT - Takes(s): 10.0, Count: 267, TPM: 1605.6, Sum(ms): 60956.6, Avg(ms): 228.7, 50th(ms): 176.2, 90th(ms): 503.3, 95th(ms): 604.0, 99th(ms): 704.6, 99.9th(ms): 771.8, Max(ms): 771.8
