Test Start Time: Fri Dec 22 15:56:47 2023
-----------------------------------------
Testcase                                           Result     Exit Value
--------                                           ------     ----------
abort01                                            PASS       0    
accept01                                           PASS       0    
accept02                                           PASS       0    
accept4_01                                         PASS       0    
access01                                           PASS       0    
access02                                           PASS       0    
access03                                           PASS       0    
access04                                           PASS       0    
acct01                                             CONF       32   
acct02                                             CONF       32   
add_key01                                          PASS       0    
add_key02                                          PASS       0    
add_key03                                          PASS       0    
add_key04                                          PASS       0    
add_key05                                          PASS       0    
adjtimex01                                         PASS       0    
adjtimex02                                         PASS       0    
adjtimex03                                         PASS       0    
alarm02                                            PASS       0    
alarm03                                            PASS       0    
alarm05                                            PASS       0    
alarm06                                            PASS       0    
alarm07                                            PASS       0    
bind01                                             PASS       0    
bind02                                             PASS       0    
bind03                                             PASS       0    
bind04                                             PASS       0    
bind05                                             PASS       0    
bind06                                             PASS       0    
bpf_map01                                          PASS       0    
bpf_prog01                                         PASS       0    
bpf_prog02                                         PASS       0    
bpf_prog03                                         PASS       0    
bpf_prog04                                         PASS       0    
bpf_prog05                                         PASS       0    
bpf_prog06                                         FAIL       1    
bpf_prog07                                         PASS       0    
brk01                                              PASS       0    
brk02                                              PASS       0    
capget01                                           PASS       0    
capget02                                           PASS       0    
capset01                                           PASS       0    
capset02                                           PASS       0    
capset03                                           PASS       0    
capset04                                           PASS       0    
cacheflush01                                       CONF       32   
chdir01                                            FAIL       6    
chdir01A                                           PASS       0    
chdir04                                            PASS       0    
chmod01                                            PASS       0    
chmod01A                                           PASS       0    
chmod03                                            PASS       0    
chmod05                                            PASS       0    
chmod06                                            PASS       0    
chmod07                                            PASS       0    
chown01                                            PASS       0    
chown01_16                                         CONF       32   
chown02                                            PASS       0    
chown02_16                                         CONF       32   
chown03                                            PASS       0    
chown03_16                                         CONF       32   
chown04                                            PASS       0    
chown04_16                                         CONF       32   
chown05                                            PASS       0    
chown05_16                                         CONF       32   
chroot01                                           PASS       0    
chroot02                                           PASS       0    
chroot03                                           PASS       0    
chroot04                                           PASS       0    
clock_adjtime01                                    PASS       0    
clock_adjtime02                                    PASS       0    
clock_getres01                                     PASS       0    
clock_nanosleep01                                  PASS       0    
clock_nanosleep02                                  PASS       0    
clock_nanosleep03                                  CONF       32   
clock_nanosleep04                                  PASS       0    
clock_gettime01                                    PASS       0    
clock_gettime02                                    PASS       0    
clock_gettime03                                    CONF       32   
clock_gettime04                                    PASS       0    
leapsec01                                          PASS       0    
clock_settime01                                    PASS       0    
clock_settime02                                    PASS       0    
clock_settime03                                    PASS       0    
clone01                                            PASS       0    
clone02                                            PASS       0    
clone03                                            PASS       0    
clone04                                            PASS       0    
clone05                                            PASS       0    
clone06                                            PASS       0    
clone07                                            PASS       0    
clone08                                            PASS       0    
clone09                                            PASS       0    
clone301                                           PASS       0    
clone302                                           PASS       0    
clone303                                           PASS       0    
close01                                            PASS       0    
close02                                            PASS       0    
close_range01                                      FAIL       6    
close_range02                                      PASS       0    
confstr01                                          PASS       0    
connect01                                          PASS       0    
connect02                                          PASS       0    
creat01                                            PASS       0    
creat03                                            PASS       0    
creat04                                            PASS       0    
creat05                                            PASS       0    
creat06                                            PASS       0    
creat07                                            PASS       0    
creat08                                            PASS       0    
creat09                                            FAIL       6    
delete_module01                                    CONF       32   
delete_module02                                    PASS       0    
delete_module03                                    CONF       32   
dup01                                              PASS       0    
dup02                                              PASS       0    
dup03                                              PASS       0    
dup04                                              PASS       0    
dup05                                              PASS       0    
dup06                                              PASS       0    
dup07                                              PASS       0    
dup201                                             PASS       0    
dup202                                             PASS       0    
dup203                                             PASS       0    
dup204                                             PASS       0    
dup205                                             PASS       0    
dup206                                             PASS       0    
dup207                                             PASS       0    
dup3_01                                            PASS       0    
dup3_02                                            PASS       0    
epoll_create01                                     PASS       0    
epoll_create02                                     PASS       0    
epoll_create1_01                                   PASS       0    
epoll_create1_02                                   PASS       0    
epoll01                                            PASS       0    
epoll_ctl01                                        PASS       0    
epoll_ctl02                                        PASS       0    
epoll_ctl03                                        PASS       0    
epoll_ctl04                                        PASS       0    
epoll_ctl05                                        PASS       0    
epoll_wait01                                       PASS       0    
epoll_wait02                                       PASS       0    
epoll_wait03                                       PASS       0    
epoll_wait04                                       PASS       0    
epoll_wait05                                       PASS       0    
epoll_wait06                                       PASS       0    
epoll_wait07                                       PASS       0    
epoll_pwait01                                      PASS       0    
epoll_pwait02                                      PASS       0    
epoll_pwait03                                      PASS       0    
epoll_pwait04                                      PASS       0    
epoll_pwait05                                      CONF       32   
eventfd01                                          PASS       0    
eventfd02                                          PASS       0    
eventfd03                                          PASS       0    
eventfd04                                          PASS       0    
eventfd05                                          PASS       0    
eventfd06                                          PASS       0    
eventfd2_01                                        PASS       0    
eventfd2_02                                        PASS       0    
eventfd2_03                                        PASS       0    
execl01                                            PASS       0    
execle01                                           PASS       0    
execlp01                                           PASS       0    
execv01                                            PASS       0    
execve01                                           PASS       0    
execve02                                           PASS       0    
execve03                                           PASS       0    
execve04                                           PASS       0    
execve05                                           PASS       0    
execve06                                           PASS       0    
execvp01                                           PASS       0    
execveat01                                         PASS       0    
execveat02                                         PASS       0    
execveat03                                         FAIL       6    
exit01                                             PASS       0    
exit02                                             PASS       0    
exit_group01                                       PASS       0    
faccessat01                                        PASS       0    
faccessat02                                        PASS       0    
faccessat201                                       PASS       0    
faccessat202                                       PASS       0    
fallocate01                                        PASS       0    
fallocate02                                        PASS       0    
fallocate03                                        PASS       0    
fallocate04                                        FAIL       6    
fallocate05                                        FAIL       6    
fallocate06                                        FAIL       6    
fsetxattr01                                        FAIL       6    
fsetxattr02                                        CONF       32   
posix_fadvise01                                    PASS       0    
posix_fadvise01_64                                 PASS       0    
posix_fadvise02                                    PASS       0    
posix_fadvise02_64                                 PASS       0    
posix_fadvise03                                    PASS       0    
posix_fadvise03_64                                 PASS       0    
posix_fadvise04                                    PASS       0    
posix_fadvise04_64                                 PASS       0    
fchdir01                                           PASS       0    
fchdir02                                           PASS       0    
fchdir03                                           PASS       0    
fchmod01                                           PASS       0    
fchmod02                                           PASS       0    
fchmod03                                           PASS       0    
fchmod04                                           PASS       0    
fchmod05                                           PASS       0    
fchmod06                                           PASS       0    
fchmodat01                                         PASS       0    
fchown01                                           PASS       0    
fchown01_16                                        CONF       32   
fchown02                                           PASS       0    
fchown02_16                                        CONF       32   
fchown03                                           PASS       0    
fchown03_16                                        CONF       32   
fchown04                                           PASS       0    
fchown04_16                                        CONF       32   
fchown05                                           PASS       0    
fchown05_16                                        CONF       32   
fchownat01                                         PASS       0    
fchownat02                                         PASS       0    
fcntl01                                            PASS       0    
fcntl01_64                                         PASS       0    
fcntl02                                            PASS       0    
fcntl02_64                                         PASS       0    
fcntl03                                            PASS       0    
fcntl03_64                                         PASS       0    
fcntl04                                            PASS       0    
fcntl04_64                                         PASS       0    
fcntl05                                            PASS       0    
fcntl05_64                                         PASS       0    
fcntl07                                            PASS       0    
fcntl07_64                                         PASS       0    
fcntl08                                            PASS       0    
fcntl08_64                                         PASS       0    
fcntl09                                            PASS       0    
fcntl09_64                                         PASS       0    
fcntl10                                            PASS       0    
fcntl10_64                                         PASS       0    
fcntl11                                            PASS       0    
fcntl11_64                                         PASS       0    
fcntl12                                            PASS       0    
fcntl12_64                                         PASS       0    
fcntl13                                            PASS       0    
fcntl13_64                                         PASS       0    
fcntl14                                            PASS       0    
fcntl14_64                                         PASS       0    
fcntl15                                            PASS       0    
fcntl15_64                                         PASS       0    
fcntl16                                            PASS       0    
fcntl16_64                                         PASS       0    
fcntl17                                            PASS       0    
fcntl17_64                                         PASS       0    
fcntl18                                            PASS       0    
fcntl18_64                                         PASS       0    
fcntl19                                            PASS       0    
fcntl19_64                                         PASS       0    
fcntl20                                            PASS       0    
fcntl20_64                                         PASS       0    
fcntl21                                            PASS       0    
fcntl21_64                                         PASS       0    
fcntl22                                            PASS       0    
fcntl22_64                                         PASS       0    
fcntl23                                            PASS       0    
fcntl23_64                                         PASS       0    
fcntl24                                            PASS       0    
fcntl24_64                                         PASS       0    
fcntl25                                            PASS       0    
fcntl25_64                                         PASS       0    
fcntl26                                            PASS       0    
fcntl26_64                                         PASS       0    
fcntl27                                            PASS       0    
fcntl27_64                                         PASS       0    
fcntl28                                            PASS       0    
fcntl28_64                                         PASS       0    
fcntl29                                            PASS       0    
fcntl29_64                                         PASS       0    
fcntl30                                            PASS       0    
fcntl30_64                                         PASS       0    
fcntl31                                            PASS       0    
fcntl31_64                                         PASS       0    
fcntl32                                            PASS       0    
fcntl32_64                                         PASS       0    
fcntl33                                            PASS       0    
fcntl33_64                                         PASS       0    
fcntl34                                            PASS       0    
fcntl34_64                                         PASS       0    
fcntl35                                            PASS       0    
fcntl35_64                                         PASS       0    
fcntl36                                            PASS       0    
fcntl36_64                                         PASS       0    
fcntl37                                            PASS       0    
fcntl37_64                                         PASS       0    
fcntl38                                            PASS       0    
fcntl38_64                                         PASS       0    
fcntl39                                            PASS       0    
fcntl39_64                                         PASS       0    
fdatasync01                                        PASS       0    
fdatasync02                                        PASS       0    
fdatasync03                                        FAIL       6    
fgetxattr01                                        FAIL       6    
fgetxattr02                                        PASS       0    
fgetxattr03                                        PASS       0    
finit_module01                                     CONF       32   
finit_module02                                     CONF       32   
flistxattr01                                       PASS       0    
flistxattr02                                       PASS       0    
flistxattr03                                       PASS       0    
flock01                                            PASS       0    
flock02                                            PASS       0    
flock03                                            PASS       0    
flock04                                            PASS       0    
flock06                                            PASS       0    
fmtmsg01                                           PASS       0    
fork01                                             PASS       0    
fork03                                             PASS       0    
fork04                                             PASS       0    
fork05                                             PASS       0    
fork06                                             PASS       0    
fork07                                             PASS       0    
fork08                                             PASS       0    
fork09                                             PASS       0    
fork10                                             PASS       0    
fork11                                             PASS       0    
fork13                                             PASS       0    
fork14                                             CONF       32   
fpathconf01                                        PASS       0    
fremovexattr01                                     FAIL       6    
fremovexattr02                                     FAIL       6    
fsconfig01                                         FAIL       37   
fsconfig02                                         FAIL       4    
fsconfig03                                         FAIL       6    
fsmount01                                          FAIL       7    
fsmount02                                          FAIL       6    
fsopen01                                           FAIL       7    
fsopen02                                           FAIL       4    
fspick01                                           FAIL       6    
fspick02                                           FAIL       6    
fstat02                                            PASS       0    
fstat02_64                                         PASS       0    
fstat03                                            PASS       0    
fstat03_64                                         PASS       0    
fstatat01                                          PASS       0    
fstatfs01                                          FAIL       6    
fstatfs01_64                                       FAIL       6    
fstatfs02                                          PASS       0    
fstatfs02_64                                       PASS       0    
fsync01                                            FAIL       6    
fsync02                                            PASS       0    
fsync03                                            PASS       0    
fsync04                                            FAIL       6    
ftruncate01                                        PASS       0    
ftruncate01_64                                     PASS       0    
ftruncate03                                        PASS       0    
ftruncate03_64                                     PASS       0    
ftruncate04                                        FAIL       6    
ftruncate04_64                                     FAIL       6    
futimesat01                                        CONF       32   
getcontext01                                       PASS       0    
getcpu01                                           PASS       0    
getcwd01                                           PASS       0    
getcwd02                                           PASS       0    
getcwd03                                           PASS       0    
getcwd04                                           PASS       0    
getdents01                                         PASS       0    
getdents02                                         PASS       0    
getdomainname01                                    PASS       0    
getdtablesize01                                    PASS       0    
getegid01                                          PASS       0    
getegid01_16                                       CONF       32   
getegid02                                          PASS       0    
getegid02_16                                       CONF       32   
geteuid01                                          PASS       0    
geteuid01_16                                       CONF       32   
geteuid02                                          PASS       0    
geteuid02_16                                       CONF       32   
getgid01                                           PASS       0    
getgid01_16                                        CONF       32   
getgid03                                           PASS       0    
getgid03_16                                        CONF       32   
getgroups01                                        PASS       0    
getgroups01_16                                     CONF       32   
getgroups03                                        PASS       0    
getgroups03_16                                     CONF       32   
gethostbyname_r01                                  PASS       0    
gethostid01                                        PASS       0    
gethostname01                                      PASS       0    
getitimer01                                        PASS       0    
getitimer02                                        PASS       0    
getpagesize01                                      PASS       0    
getpeername01                                      PASS       0    
getpgid01                                          PASS       0    
getpgid02                                          PASS       0    
getpgrp01                                          PASS       0    
getpid01                                           PASS       0    
getpid02                                           PASS       0    
getppid01                                          PASS       0    
getppid02                                          PASS       0    
getpriority01                                      PASS       0    
getpriority02                                      PASS       0    
getrandom01                                        PASS       0    
getrandom02                                        PASS       0    
getrandom03                                        PASS       0    
getrandom04                                        PASS       0    
getresgid01                                        PASS       0    
getresgid01_16                                     CONF       32   
getresgid02                                        PASS       0    
getresgid02_16                                     CONF       32   
getresgid03                                        PASS       0    
getresgid03_16                                     CONF       32   
getresuid01                                        PASS       0    
getresuid01_16                                     CONF       32   
getresuid02                                        PASS       0    
getresuid02_16                                     CONF       32   
getresuid03                                        PASS       0    
getresuid03_16                                     CONF       32   
getrlimit01                                        PASS       0    
getrlimit02                                        PASS       0    
getrlimit03                                        PASS       0    
get_mempolicy01                                    CONF       32   
get_mempolicy02                                    CONF       32   
get_robust_list01                                  PASS       0    
getrusage01                                        PASS       0    
getrusage02                                        PASS       0    
getrusage03                                        PASS       0    
getrusage04                                        PASS       0    
getsid01                                           PASS       0    
getsid02                                           PASS       0    
getsockname01                                      PASS       0    
getsockopt01                                       PASS       0    
getsockopt02                                       PASS       0    
gettid01                                           PASS       0    
gettimeofday01                                     PASS       0    
gettimeofday02                                     PASS       0    
getuid01                                           PASS       0    
getuid01_16                                        CONF       32   
getuid03                                           PASS       0    
getuid03_16                                        CONF       32   
getxattr01                                         PASS       0    
getxattr02                                         PASS       0    
getxattr03                                         PASS       0    
getxattr04                                         FAIL       6    
getxattr05                                         PASS       0    
init_module01                                      CONF       32   
init_module02                                      CONF       32   
ioctl01                                            PASS       0    
ioctl02                                            PASS       0    
ioctl03                                            PASS       0    
ioctl04                                            FAIL       6    
ioctl05                                            FAIL       6    
ioctl06                                            FAIL       6    
ioctl07                                            PASS       0    
ioctl08                                            FAIL       6    
ioctl09                                            PASS       0    
ioctl_loop01                                       PASS       0    
ioctl_loop02                                       PASS       0    
ioctl_loop03                                       PASS       0    
ioctl_loop04                                       PASS       0    
ioctl_loop05                                       PASS       0    
ioctl_loop06                                       PASS       0    
ioctl_loop07                                       PASS       0    
ioctl_ns01                                         PASS       0    
ioctl_ns02                                         PASS       0    
ioctl_ns03                                         PASS       0    
ioctl_ns04                                         PASS       0    
ioctl_ns05                                         PASS       0    
ioctl_ns06                                         PASS       0    
ioctl_ns07                                         PASS       0    
ioctl_sg01                                         CONF       32   
inotify_init1_01                                   PASS       0    
inotify_init1_02                                   PASS       0    
inotify01                                          PASS       0    
inotify02                                          PASS       0    
inotify03                                          FAIL       6    
inotify04                                          PASS       0    
inotify05                                          PASS       0    
inotify06                                          PASS       0    
inotify07                                          FAIL       6    
inotify08                                          FAIL       6    
inotify09                                          PASS       0    
inotify10                                          PASS       0    
inotify11                                          PASS       0    
inotify12                                          FAIL       1    
fanotify01                                         FAIL       6    
fanotify02                                         CONF       32   
fanotify03                                         FAIL       6    
fanotify04                                         CONF       32   
fanotify05                                         FAIL       6    
fanotify06                                         FAIL       6    
fanotify07                                         CONF       32   
fanotify08                                         CONF       32   
fanotify09                                         FAIL       6    
fanotify10                                         FAIL       6    
fanotify11                                         CONF       32   
fanotify12                                         CONF       32   
fanotify13                                         FAIL       6    
fanotify14                                         FAIL       6    
fanotify15                                         FAIL       6    
fanotify16                                         FAIL       6    
fanotify17                                         FAIL       6    
fanotify18                                         FAIL       6    
fanotify19                                         FAIL       6    
fanotify20                                         FAIL       36   
fanotify21                                         FAIL       36   
fanotify22                                         FAIL       6    
fanotify23                                         FAIL       6    
ioperm01                                           CONF       32   
ioperm02                                           CONF       32   
iopl01                                             CONF       32   
iopl02                                             CONF       32   
ioprio_get01                                       PASS       0    
ioprio_set01                                       PASS       0    
ioprio_set02                                       PASS       0    
ioprio_set03                                       PASS       0    
io_cancel01                                        PASS       0    
io_cancel02                                        PASS       0    
io_destroy01                                       PASS       0    
io_destroy02                                       PASS       0    
io_getevents01                                     PASS       0    
io_getevents02                                     PASS       0    
io_pgetevents01                                    PASS       0    
io_pgetevents02                                    PASS       0    
io_setup01                                         PASS       0    
io_setup02                                         PASS       0    
io_submit01                                        PASS       0    
io_submit02                                        PASS       0    
io_submit03                                        PASS       0    
keyctl01                                           PASS       0    
keyctl02                                           PASS       0    
keyctl03                                           FAIL       2    
keyctl04                                           PASS       0    
keyctl05                                           PASS       0    
keyctl06                                           PASS       0    
keyctl07                                           PASS       0    
keyctl08                                           PASS       0    
keyctl09                                           CONF       32   
kcmp01                                             PASS       0    
kcmp02                                             PASS       0    
kcmp03                                             PASS       0    
kill02                                             PASS       0    
kill03                                             PASS       0    
kill05                                             PASS       0    
kill06                                             PASS       0    
kill07                                             PASS       0    
kill08                                             PASS       0    
kill09                                             PASS       0    
kill10                                             PASS       0    
kill11                                             PASS       0    
kill12                                             PASS       0    
kill13                                             CONF       32   
lchown01                                           PASS       0    
lchown01_16                                        CONF       32   
